PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
352,1913511436,8.22274112701416,-11.12420940399170,88.22465515136719,2.29635262489319,0.73693341016769,9.50314521789551,3.37592363357544,0.36337697505951,44.96139907836914
353,1913519769,8.16551303863525,-11.19150257110596,88.60864257812500,2.41850018501282,0.73254364728928,9.26917648315430,3.20661306381226,0.37477535009384,45.01641845703125
354,1913528102,8.10372066497803,-11.24989986419678,88.99128723144531,2.46639132499695,0.76595360040665,9.06616973876953,2.77557611465454,1.37911128997803,44.68035888671875
355,1913536435,8.03388786315918,-11.27528285980225,89.36851501464844,2.56050968170166,0.70977830886841,8.82438278198242,2.31697773933411,3.28401947021484,43.59005737304688
356,1913544768,7.97077274322510,-11.29126930236816,89.73639678955078,2.60005974769592,0.71933788061142,8.71796798706055,2.40619206428528,6.13153171539307,42.21945571899414
357,1913553101,7.90475368499756,-11.27124786376953,90.09754943847656,2.72258687019348,0.77159547805786,8.85711956024170,2.40984177589417,8.32279491424561,40.96851730346680
358,1913561434,7.84602546691895,-11.23279857635498,90.45087432861328,2.73771786689758,0.84718877077103,8.99340438842773,3.08768534660339,10.32638168334961,39.76570510864258
359,1913569767,7.80616521835327,-11.20107364654541,90.79179382324219,2.77574539184570,0.90048444271088,9.18534755706787,4.59838914871216,11.33588981628418,38.29431915283203
360,1913578100,7.77934646606445,-11.15797138214111,91.12564086914062,2.74847936630249,0.99755501747131,9.23314857482910,6.03491401672363,12.61442661285400,37.28096771240234
361,1913586433,7.76286935806274,-11.10064792633057,91.44902801513672,2.75303459167480,1.06988763809204,9.31152820587158,7.36091279983521,12.04983520507812,36.00519561767578
362,1913594766,7.75802373886108,-11.06937885284424,91.76168060302734,2.69249796867371,1.14004659652710,9.33213138580322,8.16415119171143,10.92393493652344,34.99686050415039
363,1913603099,7.75702714920044,-11.02574825286865,92.06696319580078,2.66699266433716,1.30593025684357,9.32379341125488,8.74579811096191,10.13309192657471,34.12558746337891
364,1913611432,7.75665855407715,-10.99233627319336,92.36833953857422,2.54545593261719,1.45283436775208,9.34740924835205,8.71572685241699,8.83836841583252,33.83906555175781
365,1913619765,7.76592874526978,-10.98317527770996,92.66407012939453,2.52475404739380,1.44785785675049,9.28253364562988,9.43612670898438,8.11112689971924,33.38253784179688
366,1913628098,7.78844165802002,-10.97201251983643,92.95662689208984,2.47249674797058,1.49748373031616,9.32047176361084,10.94547557830811,8.33722496032715,32.98117065429688
367,1913636431,7.81522464752197,-10.94521617889404,93.24871063232422,2.42351365089417,1.47310042381287,9.18946361541748,11.71432590484619,7.96032428741455,32.86013031005859
368,1913644764,7.84526109695435,-10.94513988494873,93.53682708740234,2.39921212196350,1.52071082592010,9.10201549530029,11.72138214111328,7.01721954345703,32.63417434692383
369,1913653097,7.86224794387817,-10.92767143249512,93.82144927978516,2.36929011344910,1.54182100296021,9.08549213409424,10.35306644439697,6.76891326904297,32.13937759399414
370,1913661430,7.88049745559692,-10.90805625915527,94.10079956054688,2.35874772071838,1.43975818157196,9.09025192260742,10.38395690917969,6.93110370635986,31.48654747009277
371,1913669763,7.90165996551514,-10.91547203063965,94.37509918212891,2.32057976722717,1.45733499526978,9.11927223205566,10.31126403808594,5.99118852615356,31.13414764404297
372,1913678096,7.92703294754028,-10.93376445770264,94.64281463623047,2.37804341316223,1.29718685150146,9.16660308837891,10.67347335815430,4.61618900299072,30.55021476745605
